person	abstract	name
http://dbpedia.org/resource/A._R._D._Fairburn	"""Arthur Rex Dugard ""Rex"" Fairburn (2 February 1904 Ð 25 March 1957) was a New Zealand poet who was born and died in Auckland. He attended Auckland Grammar School, where he first met R. A. K. Mason, and worked at various jobs, including relief work on the roads. Later he tutored in English and lectured on the history and theory of Art at Elam School of Art, Auckland University College. His poetry was initially influenced by the (then unfashionable) Georgian poets."""	A. R. D. Fairburn
http://dbpedia.org/resource/Aaran_Lines	"""Aaran Franklyn Lines (born 21 December 1976 in Lower Hutt) is a retired New Zealand association football player and former head coach of the Western New York Flash. He has represented New Zealand at international level."""	Aaran Franklyn Lines
http://dbpedia.org/resource/Aaran_Lines	"""Aaran Franklyn Lines (born 21 December 1976 in Lower Hutt) is a retired New Zealand association football player and former head coach of the Western New York Flash. He has represented New Zealand at international level."""	Aaran Lines
http://dbpedia.org/resource/Aaron_Gate	"""Aaron Gate (born 26 November 1990) is a New Zealand racing cyclist. He won a bronze medal at the 2012 Summer Olympics in the team pursuit event with teammates Sam Bewley, Marc Ryan, Jesse Sergent and Westley Gough. On 24 February 2013 in Belarus, Gate won the world championship title in the omnium event. Alongside Pieter Bulling, Regan Gough, and Dylan Kennett, he came fourth in the men's team pursuit at the 2016 Rio Olympics, being beaten by Denmark to the bronze medal."""	Aaron Gate
http://dbpedia.org/resource/Aaron_Harper_(politician)	"""Aaron David Harper (born 20 May 1967) is an Australian politician. He has been the Labor member for Thuringowa in the Queensland Legislative Assembly since 2015."""	Aaron Harper
http://dbpedia.org/resource/Aaron_McIntosh	"""Aaron McIntosh (born 7 January 1972 in Auckland) is a sailor from New Zealand who won a Bronze medal at 2000 in Sydney. He had previously just missed out on a medal at the 1996 Summer Olympics in Atlanta finishing a close fourth. At the World Mistral Championships he finished third in 1993, second in 1995 and won three times in 1994, 1997 and 1998. McIntosh attempted to qualify for a third Olympics at Beijing in the Soling class but was unsuccessful. He did qualifyÑwith Mark KennedyÑfor the two-man Tornado multihull class, but New Zealand did not send them to the games."""	Aaron McIntosh
http://dbpedia.org/resource/Aaron_Saxton	"""Aaron Saxton (born 1974) is a former Scientologist and member of the organisation's elite group called the Sea Org. He contacted Senator Nick Xenophon of Australia, who quoted statements by Saxton about Scientology into the parliamentary record of the Australian Senate in November 2009. That speech caused a furor according to the The Courier-Mail, The New Zealand Herald and other media."""	Aaron Saxton
http://dbpedia.org/resource/Aaron_Scott_(footballer)	"""Aaron James Scott (born 18 July 1986) is a New Zealand footballer who plays for NZFC side Waitakere United and has represented New Zealand under 23 at the Olympics and played for the senior side, the All Whites."""	Aaron James Scott
http://dbpedia.org/resource/Aaron_Scott_(footballer)	"""Aaron James Scott (born 18 July 1986) is a New Zealand footballer who plays for NZFC side Waitakere United and has represented New Zealand under 23 at the Olympics and played for the senior side, the All Whites."""	Aaron Scott
http://dbpedia.org/resource/Abigail_Guthrie	"""Abigail ""Abby"" Guthrie (born 22 June 1990) is a New Zealand tennis player. On the Junior Circuit, Guthrie peaked at world number 360 in 2008. She has not won any ITF or WTA singles titles, but she and partner Kristi Boxx won two doubles titles on the ITF women's circuit in 2013. Guthrie also made her debut for the New Zealand Fed Cup team in 2013. She currently holds an 8Ð1 record in competition after the 2014 Asia/Oceania Group Round Robin Tournament in Astana, Kazakhstan. Guthrie first competed at the ASB Classic in Auckland as a wildcard entry in both singles and doubles in 2013. In 2014, again as a wildcard, she and partner Sacha Jones caused a huge upset in the doubles by defeating second seeds Marina Erakovic and Cara Black in the first round. Guthrie was educated at St Cuthbert's College in Auckland before enrolling at the University of Mississippi, from where she graduated in 2012, majoring in dietetics and nutrition. Selected as an All-American, she was ranked number 7 in doubles for the USA. Her favorite athlete is swimmer Michael Phelps, while the tennis player she most admires is James Blake."""	Abigail Guthrie
